71.47818	15.42757	4530	4516	4548	4510	569.78	-13.94	89.5	27	5.3
78.25309	-9.97429	32527	32583	32706	32671	9.19	-34.89	1.0	176	5.5
79.78290	-8.41116	6389	6391	6415	6382	448.29	-22.71	52.7	313	16.2
82.67199	-8.58445	15199	15211	15238	15209	118.01	-45.48	1.0	181	5.1
82.38137	-11.45920	7104	7091	7112	7081	394.77	-34.62	21.1	339	8.4
84.26780	-31.50664	31298	31218	31317	31291	10.55	-39.12	0.5	100	6.4
83.86803	-35.49015	1384	1377	1400	1374	845.60	-5.88	96.5	274	10.1
82.75809	-16.05585	26869	26776	26850	26820	20.13	-45.10	0.5	281	0.2
80.05251	-9.16365	30211	30132	30232	30200	12.13	-41.92	0.5	194	4.1
78.63632	-8.87825	8099	8091	8115	8082	334.36	-47.75	50.1	260	7.8
